pattern	subject	algo	positions	mismatches
s-4096	t-512k-sparse	trie	524288	0
s-4096	t-512k-sparse	hash2	524288	0
s-4096	t-512k-sparse	hash4	524288	0
s-4096	t-512k-sparse	vm	524288	0
s-4096	t-128k-dense	firstbyte	131072	0
s-4096	t-128k-dense	trie	131072	0
s-4096	t-128k-dense	hash2	131072	0
s-4096	t-128k-dense	hash4	131072	0
s-4096	t-128k-dense	vm	131072	0
s-4096	f-sh1	firstbyte	5	0
s-4096	f-sh1	trie	5	0
s-4096	f-sh1	hash2	5	0
s-4096	f-sh1	hash4	5	0
s-4096	f-sh1	vm	5	0
s-4096	f-glued	firstbyte	18	0
s-4096	f-glued	trie	18	0
s-4096	f-glued	hash2	18	0
s-4096	f-glued	hash4	18	0
s-4096	f-glued	vm	18	0
s-4096	f-w255	firstbyte	7	0
s-4096	f-w255	trie	7	0
s-4096	f-w255	hash2	7	0
s-4096	f-w255	hash4	7	0
s-4096	f-w255	vm	7	0
s-4096	f-pfx3	firstbyte	8	0
s-4096	f-pfx3	trie	8	0
s-4096	f-pfx3	hash2	8	0
s-4096	f-pfx3	hash4	8	0
s-4096	f-pfx3	vm	8	0
s-4096	t-128k-sparse	firstbyte	131072	0
s-4096	t-128k-sparse	trie	131072	0
s-4096	t-128k-sparse	hash2	131072	0
s-4096	t-128k-sparse	hash4	131072	0
s-4096	t-128k-sparse	vm	131072	0
s-4096	f-bg	firstbyte	8	0
s-4096	f-bg	trie	8	0
s-4096	f-bg	hash2	8	0
s-4096	f-bg	hash4	8	0
s-4096	f-bg	vm	8	0
s-4096	f-upper	firstbyte	12	0
s-4096	f-upper	trie	12	0
s-4096	f-upper	hash2	12	0
s-4096	f-upper	hash4	12	0
s-4096	f-upper	vm	12	0
s-4096	f-near	firstbyte	12	0
s-4096	f-near	trie	12	0
s-4096	f-near	hash2	12	0
s-4096	f-near	hash4	12	0
s-4096	f-near	vm	12	0
s-4096	f-sfx	firstbyte	9	0
s-4096	f-sfx	trie	9	0
s-4096	f-sfx	hash2	9	0
s-4096	f-sfx	hash4	9	0
s-4096	f-sfx	vm	9	0
w-192	f-cnt2	firstbyte	16	0
w-192	f-cnt2	trie	16	0
w-192	f-cnt2	hash2	16	0
w-192	f-cnt2	hash4	16	0
w-192	f-cnt2	vm	16	0
w-192	f-nar4	firstbyte	9	0
w-192	f-nar4	trie	9	0
w-192	f-nar4	hash2	9	0
w-192	f-nar4	hash4	9	0
w-192	f-nar4	vm	9	0
w-192	f-w0	firstbyte	12	0
w-192	f-w0	trie	12	0
w-192	f-w0	hash2	12	0
w-192	f-w0	hash4	12	0
w-192	f-w0	vm	12	0
w-192	f-s4095	firstbyte	4	0
w-192	f-s4095	trie	4	0
w-192	f-s4095	hash2	4	0
w-192	f-s4095	hash4	4	0
w-192	f-s4095	vm	4	0
w-192	f-s0	firstbyte	4	0
w-192	f-s0	trie	4	0
w-192	f-s0	hash2	4	0
w-192	f-s0	hash4	4	0
w-192	f-s0	vm	4	0
w-192	t-128k-clean	firstbyte	131072	0
w-192	t-128k-clean	trie	131072	0
w-192	t-128k-clean	hash2	131072	0
w-192	t-128k-clean	hash4	131072	0
w-192	t-128k-clean	vm	131072	0
w-192	f-w511	firstbyte	6	0
w-192	f-w511	trie	6	0
w-192	f-w511	hash2	6	0
w-192	f-w511	hash4	6	0
w-192	f-w511	vm	6	0
w-192	f-prefix	firstbyte	11	0
w-192	f-prefix	trie	11	0
w-192	f-prefix	hash2	11	0
w-192	f-prefix	hash4	11	0
w-192	f-prefix	vm	11	0
w-192	f-w2047	firstbyte	8	0
w-192	f-w2047	trie	8	0
w-192	f-w2047	hash2	8	0
w-192	f-w2047	hash4	8	0
w-192	f-w2047	vm	8	0
w-192	f-w7	firstbyte	4	0
w-192	f-w7	trie	4	0
w-192	f-w7	hash2	4	0
w-192	f-w7	hash4	4	0
w-192	f-w7	vm	4	0
w-192	t-512k-sparse	firstbyte	524288	0
w-192	t-512k-sparse	trie	524288	0
w-192	t-512k-sparse	hash2	524288	0
w-192	t-512k-sparse	hash4	524288	0
w-192	t-512k-sparse	vm	524288	0
w-192	t-128k-dense	firstbyte	131072	0
w-192	t-128k-dense	trie	131072	0
w-192	t-128k-dense	hash2	131072	0
w-192	t-128k-dense	hash4	131072	0
w-192	t-128k-dense	vm	131072	0
w-192	f-sh1	firstbyte	5	0
w-192	f-sh1	trie	5	0
w-192	f-sh1	hash2	5	0
w-192	f-sh1	hash4	5	0
w-192	f-sh1	vm	5	0
w-192	f-glued	firstbyte	18	0
w-192	f-glued	trie	18	0
w-192	f-glued	hash2	18	0
w-192	f-glued	hash4	18	0
w-192	f-glued	vm	18	0
w-192	f-w255	firstbyte	7	0
w-192	f-w255	trie	7	0
w-192	f-w255	hash2	7	0
w-192	f-w255	hash4	7	0
w-192	f-w255	vm	7	0
w-192	f-pfx3	firstbyte	8	0
w-192	f-pfx3	trie	8	0
w-192	f-pfx3	hash2	8	0
w-192	f-pfx3	hash4	8	0
w-192	f-pfx3	vm	8	0
w-192	t-128k-sparse	firstbyte	131072	0
w-192	t-128k-sparse	trie	131072	0
w-192	t-128k-sparse	hash2	131072	0
w-192	t-128k-sparse	hash4	131072	0
w-192	t-128k-sparse	vm	131072	0
w-192	f-bg	firstbyte	8	0
w-192	f-bg	trie	8	0
w-192	f-bg	hash2	8	0
w-192	f-bg	hash4	8	0
w-192	f-bg	vm	8	0
w-192	f-upper	firstbyte	12	0
w-192	f-upper	trie	12	0
w-192	f-upper	hash2	12	0
w-192	f-upper	hash4	12	0
w-192	f-upper	vm	12	0
w-192	f-near	firstbyte	12	0
w-192	f-near	trie	12	0
w-192	f-near	hash2	12	0
w-192	f-near	hash4	12	0
w-192	f-near	vm	12	0
w-192	f-sfx	firstbyte	9	0
w-192	f-sfx	trie	9	0
w-192	f-sfx	hash2	9	0
w-192	f-sfx	hash4	9	0
w-192	f-sfx	vm	9	0
cnt-64	f-cnt2	firstbyte	16	0
cnt-64	f-cnt2	trie	16	0
cnt-64	f-cnt2	hash2	16	0
cnt-64	f-cnt2	hash4	16	0
cnt-64	f-cnt2	vm	16	0
cnt-64	f-nar4	firstbyte	9	0
cnt-64	f-nar4	trie	9	0
cnt-64	f-nar4	hash2	9	0
cnt-64	f-nar4	hash4	9	0
cnt-64	f-nar4	vm	9	0
cnt-64	f-w0	firstbyte	12	0
cnt-64	f-w0	trie	12	0
cnt-64	f-w0	hash2	12	0
cnt-64	f-w0	hash4	12	0
cnt-64	f-w0	vm	12	0
cnt-64	f-s4095	firstbyte	4	0
cnt-64	f-s4095	trie	4	0
cnt-64	f-s4095	hash2	4	0
cnt-64	f-s4095	hash4	4	0
cnt-64	f-s4095	vm	4	0
cnt-64	f-s0	firstbyte	4	0
cnt-64	f-s0	trie	4	0
cnt-64	f-s0	hash2	4	0
cnt-64	f-s0	hash4	4	0
cnt-64	f-s0	vm	4	0
cnt-64	t-128k-clean	firstbyte	131072	0
cnt-64	t-128k-clean	trie	131072	0
cnt-64	t-128k-clean	hash2	131072	0
cnt-64	t-128k-clean	hash4	131072	0
cnt-64	t-128k-clean	vm	131072	0
cnt-64	f-w511	firstbyte	6	0
cnt-64	f-w511	trie	6	0
cnt-64	f-w511	hash2	6	0
cnt-64	f-w511	hash4	6	0
cnt-64	f-w511	vm	6	0
cnt-64	f-prefix	firstbyte	11	0
cnt-64	f-prefix	trie	11	0
cnt-64	f-prefix	hash2	11	0
cnt-64	f-prefix	hash4	11	0
cnt-64	f-prefix	vm	11	0
cnt-64	f-w2047	firstbyte	8	0
cnt-64	f-w2047	trie	8	0
cnt-64	f-w2047	hash2	8	0
cnt-64	f-w2047	hash4	8	0
cnt-64	f-w2047	vm	8	0
cnt-64	f-w7	firstbyte	4	0
cnt-64	f-w7	trie	4	0
cnt-64	f-w7	hash2	4	0
cnt-64	f-w7	hash4	4	0
cnt-64	f-w7	vm	4	0
cnt-64	t-512k-sparse	firstbyte	524288	0
cnt-64	t-512k-sparse	trie	524288	0
cnt-64	t-512k-sparse	hash2	524288	0
cnt-64	t-512k-sparse	hash4	524288	0
cnt-64	t-512k-sparse	vm	524288	0
cnt-64	t-128k-dense	firstbyte	131072	0
cnt-64	t-128k-dense	trie	131072	0
cnt-64	t-128k-dense	hash2	131072	0
cnt-64	t-128k-dense	hash4	131072	0
cnt-64	t-128k-dense	vm	131072	0
cnt-64	f-sh1	firstbyte	5	0
cnt-64	f-sh1	trie	5	0
cnt-64	f-sh1	hash2	5	0
cnt-64	f-sh1	hash4	5	0
cnt-64	f-sh1	vm	5	0
cnt-64	f-glued	firstbyte	18	0
cnt-64	f-glued	trie	18	0
cnt-64	f-glued	hash2	18	0
cnt-64	f-glued	hash4	18	0
cnt-64	f-glued	vm	18	0
cnt-64	f-w255	firstbyte	7	0
cnt-64	f-w255	trie	7	0
cnt-64	f-w255	hash2	7	0
cnt-64	f-w255	hash4	7	0
cnt-64	f-w255	vm	7	0
cnt-64	f-pfx3	firstbyte	8	0
cnt-64	f-pfx3	trie	8	0
cnt-64	f-pfx3	hash2	8	0
cnt-64	f-pfx3	hash4	8	0
cnt-64	f-pfx3	vm	8	0
cnt-64	t-128k-sparse	firstbyte	131072	0
cnt-64	t-128k-sparse	trie	131072	0
cnt-64	t-128k-sparse	hash2	131072	0
cnt-64	t-128k-sparse	hash4	131072	0
cnt-64	t-128k-sparse	vm	131072	0
cnt-64	f-bg	firstbyte	8	0
cnt-64	f-bg	trie	8	0
cnt-64	f-bg	hash2	8	0
cnt-64	f-bg	hash4	8	0
cnt-64	f-bg	vm	8	0
cnt-64	f-upper	firstbyte	12	0
cnt-64	f-upper	trie	12	0
cnt-64	f-upper	hash2	12	0
cnt-64	f-upper	hash4	12	0
cnt-64	f-upper	vm	12	0
cnt-64	f-near	firstbyte	12	0
cnt-64	f-near	trie	12	0
cnt-64	f-near	hash2	12	0
cnt-64	f-near	hash4	12	0
cnt-64	f-near	vm	12	0
cnt-64	f-sfx	firstbyte	9	0
cnt-64	f-sfx	trie	9	0
cnt-64	f-sfx	hash2	9	0
cnt-64	f-sfx	hash4	9	0
cnt-64	f-sfx	vm	9	0
srt-512	f-cnt2	firstbyte	16	0
srt-512	f-cnt2	trie	16	0
srt-512	f-cnt2	hash2	16	0
srt-512	f-cnt2	hash4	16	0
srt-512	f-cnt2	vm	16	0
srt-512	f-nar4	firstbyte	9	0
srt-512	f-nar4	trie	9	0
srt-512	f-nar4	hash2	9	0
srt-512	f-nar4	hash4	9	0
srt-512	f-nar4	vm	9	0
srt-512	f-w0	firstbyte	12	0
srt-512	f-w0	trie	12	0
srt-512	f-w0	hash2	12	0
srt-512	f-w0	hash4	12	0
srt-512	f-w0	vm	12	0
srt-512	f-s4095	firstbyte	4	0
srt-512	f-s4095	trie	4	0
srt-512	f-s4095	hash2	4	0
srt-512	f-s4095	hash4	4	0
srt-512	f-s4095	vm	4	0
srt-512	f-s0	firstbyte	4	0
srt-512	f-s0	trie	4	0
srt-512	f-s0	hash2	4	0
srt-512	f-s0	hash4	4	0
srt-512	f-s0	vm	4	0
srt-512	t-128k-clean	firstbyte	131072	0
srt-512	t-128k-clean	trie	131072	0
srt-512	t-128k-clean	hash2	131072	0
srt-512	t-128k-clean	hash4	131072	0
srt-512	t-128k-clean	vm	131072	0
srt-512	f-w511	firstbyte	6	0
srt-512	f-w511	trie	6	0
srt-512	f-w511	hash2	6	0
srt-512	f-w511	hash4	6	0
srt-512	f-w511	vm	6	0
srt-512	f-prefix	firstbyte	11	0
srt-512	f-prefix	trie	11	0
srt-512	f-prefix	hash2	11	0
srt-512	f-prefix	hash4	11	0
srt-512	f-prefix	vm	11	0
srt-512	f-w2047	firstbyte	8	0
srt-512	f-w2047	trie	8	0
srt-512	f-w2047	hash2	8	0
srt-512	f-w2047	hash4	8	0
srt-512	f-w2047	vm	8	0
srt-512	f-w7	firstbyte	4	0
srt-512	f-w7	trie	4	0
srt-512	f-w7	hash2	4	0
srt-512	f-w7	hash4	4	0
srt-512	f-w7	vm	4	0
srt-512	t-512k-sparse	firstbyte	524288	0
srt-512	t-512k-sparse	trie	524288	0
srt-512	t-512k-sparse	hash2	524288	0
srt-512	t-512k-sparse	hash4	524288	0
srt-512	t-512k-sparse	vm	524288	0
srt-512	t-128k-dense	firstbyte	131072	0
srt-512	t-128k-dense	trie	131072	0
srt-512	t-128k-dense	hash2	131072	0
srt-512	t-128k-dense	hash4	131072	0
srt-512	t-128k-dense	vm	131072	0
srt-512	f-sh1	firstbyte	5	0
srt-512	f-sh1	trie	5	0
srt-512	f-sh1	hash2	5	0
srt-512	f-sh1	hash4	5	0
srt-512	f-sh1	vm	5	0
srt-512	f-glued	firstbyte	18	0
srt-512	f-glued	trie	18	0
srt-512	f-glued	hash2	18	0
srt-512	f-glued	hash4	18	0
srt-512	f-glued	vm	18	0
srt-512	f-w255	firstbyte	7	0
srt-512	f-w255	trie	7	0
srt-512	f-w255	hash2	7	0
srt-512	f-w255	hash4	7	0
srt-512	f-w255	vm	7	0
srt-512	f-pfx3	firstbyte	8	0
srt-512	f-pfx3	trie	8	0
srt-512	f-pfx3	hash2	8	0
srt-512	f-pfx3	hash4	8	0
srt-512	f-pfx3	vm	8	0
srt-512	t-128k-sparse	firstbyte	131072	0
srt-512	t-128k-sparse	trie	131072	0
srt-512	t-128k-sparse	hash2	131072	0
srt-512	t-128k-sparse	hash4	131072	0
srt-512	t-128k-sparse	vm	131072	0
srt-512	f-bg	firstbyte	8	0
srt-512	f-bg	trie	8	0
srt-512	f-bg	hash2	8	0
srt-512	f-bg	hash4	8	0
srt-512	f-bg	vm	8	0
srt-512	f-upper	firstbyte	12	0
srt-512	f-upper	trie	12	0
srt-512	f-upper	hash2	12	0
srt-512	f-upper	hash4	12	0
srt-512	f-upper	vm	12	0
srt-512	f-near	firstbyte	12	0
srt-512	f-near	trie	12	0
srt-512	f-near	hash2	12	0
srt-512	f-near	hash4	12	0
srt-512	f-near	vm	12	0
srt-512	f-sfx	firstbyte	9	0
srt-512	f-sfx	trie	9	0
srt-512	f-sfx	hash2	9	0
srt-512	f-sfx	hash4	9	0
srt-512	f-sfx	vm	9	0
srt-256	f-cnt2	firstbyte	16	0
srt-256	f-cnt2	trie	16	0
srt-256	f-cnt2	hash2	16	0
srt-256	f-cnt2	hash4	16	0
srt-256	f-cnt2	vm	16	0
srt-256	f-nar4	firstbyte	9	0
srt-256	f-nar4	trie	9	0
srt-256	f-nar4	hash2	9	0
srt-256	f-nar4	hash4	9	0
srt-256	f-nar4	vm	9	0
srt-256	f-w0	firstbyte	12	0
srt-256	f-w0	trie	12	0
srt-256	f-w0	hash2	12	0
srt-256	f-w0	hash4	12	0
srt-256	f-w0	vm	12	0
srt-256	f-s4095	firstbyte	4	0
srt-256	f-s4095	trie	4	0
srt-256	f-s4095	hash2	4	0
srt-256	f-s4095	hash4	4	0
srt-256	f-s4095	vm	4	0
srt-256	f-s0	firstbyte	4	0
srt-256	f-s0	trie	4	0
srt-256	f-s0	hash2	4	0
srt-256	f-s0	hash4	4	0
srt-256	f-s0	vm	4	0
srt-256	t-128k-clean	firstbyte	131072	0
srt-256	t-128k-clean	trie	131072	0
srt-256	t-128k-clean	hash2	131072	0
srt-256	t-128k-clean	hash4	131072	0
srt-256	t-128k-clean	vm	131072	0
srt-256	f-w511	firstbyte	6	0
srt-256	f-w511	trie	6	0
srt-256	f-w511	hash2	6	0
srt-256	f-w511	hash4	6	0
srt-256	f-w511	vm	6	0
srt-256	f-prefix	firstbyte	11	0
srt-256	f-prefix	trie	11	0
srt-256	f-prefix	hash2	11	0
srt-256	f-prefix	hash4	11	0
srt-256	f-prefix	vm	11	0
srt-256	f-w2047	firstbyte	8	0
srt-256	f-w2047	trie	8	0
srt-256	f-w2047	hash2	8	0
srt-256	f-w2047	hash4	8	0
srt-256	f-w2047	vm	8	0
srt-256	f-w7	firstbyte	4	0
srt-256	f-w7	trie	4	0
srt-256	f-w7	hash2	4	0
srt-256	f-w7	hash4	4	0
srt-256	f-w7	vm	4	0
srt-256	t-512k-sparse	firstbyte	524288	0
srt-256	t-512k-sparse	trie	524288	0
srt-256	t-512k-sparse	hash2	524288	0
srt-256	t-512k-sparse	hash4	524288	0
srt-256	t-512k-sparse	vm	524288	0
srt-256	t-128k-dense	firstbyte	131072	0
srt-256	t-128k-dense	trie	131072	0
srt-256	t-128k-dense	hash2	131072	0
srt-256	t-128k-dense	hash4	131072	0
srt-256	t-128k-dense	vm	131072	0
srt-256	f-sh1	firstbyte	5	0
srt-256	f-sh1	trie	5	0
srt-256	f-sh1	hash2	5	0
srt-256	f-sh1	hash4	5	0
srt-256	f-sh1	vm	5	0
srt-256	f-glued	firstbyte	18	0
srt-256	f-glued	trie	18	0
srt-256	f-glued	hash2	18	0
srt-256	f-glued	hash4	18	0
srt-256	f-glued	vm	18	0
srt-256	f-w255	firstbyte	7	0
srt-256	f-w255	trie	7	0
srt-256	f-w255	hash2	7	0
srt-256	f-w255	hash4	7	0
srt-256	f-w255	vm	7	0
srt-256	f-pfx3	firstbyte	8	0
srt-256	f-pfx3	trie	8	0
srt-256	f-pfx3	hash2	8	0
srt-256	f-pfx3	hash4	8	0
srt-256	f-pfx3	vm	8	0
srt-256	t-128k-sparse	firstbyte	131072	0
srt-256	t-128k-sparse	trie	131072	0
srt-256	t-128k-sparse	hash2	131072	0
srt-256	t-128k-sparse	hash4	131072	0
srt-256	t-128k-sparse	vm	131072	0
srt-256	f-bg	firstbyte	8	0
srt-256	f-bg	trie	8	0
srt-256	f-bg	hash2	8	0
srt-256	f-bg	hash4	8	0
srt-256	f-bg	vm	8	0
srt-256	f-upper	firstbyte	12	0
srt-256	f-upper	trie	12	0
srt-256	f-upper	hash2	12	0
srt-256	f-upper	hash4	12	0
srt-256	f-upper	vm	12	0
srt-256	f-near	firstbyte	12	0
srt-256	f-near	trie	12	0
srt-256	f-near	hash2	12	0
srt-256	f-near	hash4	12	0
srt-256	f-near	vm	12	0
srt-256	f-sfx	firstbyte	9	0
srt-256	f-sfx	trie	9	0
srt-256	f-sfx	hash2	9	0
srt-256	f-sfx	hash4	9	0
srt-256	f-sfx	vm	9	0
s-2048	f-cnt2	firstbyte	16	0
s-2048	f-cnt2	trie	16	0
s-2048	f-cnt2	hash2	16	0
s-2048	f-cnt2	hash4	16	0
s-2048	f-cnt2	vm	16	0
s-2048	f-nar4	firstbyte	9	0
s-2048	f-nar4	trie	9	0
s-2048	f-nar4	hash2	9	0
s-2048	f-nar4	hash4	9	0
s-2048	f-nar4	vm	9	0
s-2048	f-w0	firstbyte	12	0
s-2048	f-w0	trie	12	0
s-2048	f-w0	hash2	12	0
s-2048	f-w0	hash4	12	0
s-2048	f-w0	vm	12	0
s-2048	f-s4095	firstbyte	4	0
s-2048	f-s4095	trie	4	0
s-2048	f-s4095	hash2	4	0
s-2048	f-s4095	hash4	4	0
s-2048	f-s4095	vm	4	0
s-2048	f-s0	firstbyte	4	0
s-2048	f-s0	trie	4	0
s-2048	f-s0	hash2	4	0
s-2048	f-s0	hash4	4	0
s-2048	f-s0	vm	4	0
s-2048	t-128k-clean	firstbyte	131072	0
s-2048	t-128k-clean	trie	131072	0
s-2048	t-128k-clean	hash2	131072	0
s-2048	t-128k-clean	hash4	131072	0
s-2048	t-128k-clean	vm	131072	0
s-2048	f-w511	firstbyte	6	0
s-2048	f-w511	trie	6	0
s-2048	f-w511	hash2	6	0
s-2048	f-w511	hash4	6	0
s-2048	f-w511	vm	6	0
s-2048	f-prefix	firstbyte	11	0
s-2048	f-prefix	trie	11	0
s-2048	f-prefix	hash2	11	0
s-2048	f-prefix	hash4	11	0
s-2048	f-prefix	vm	11	0
s-2048	f-w2047	firstbyte	8	0
s-2048	f-w2047	trie	8	0
s-2048	f-w2047	hash2	8	0
s-2048	f-w2047	hash4	8	0
s-2048	f-w2047	vm	8	0
s-2048	f-w7	firstbyte	4	0
s-2048	f-w7	trie	4	0
s-2048	f-w7	hash2	4	0
s-2048	f-w7	hash4	4	0
s-2048	f-w7	vm	4	0
s-2048	t-512k-sparse	firstbyte	524288	0
s-2048	t-512k-sparse	trie	524288	0
s-2048	t-512k-sparse	hash2	524288	0
s-2048	t-512k-sparse	hash4	524288	0
s-2048	t-512k-sparse	vm	524288	0
s-2048	t-128k-dense	firstbyte	131072	0
s-2048	t-128k-dense	trie	131072	0
s-2048	t-128k-dense	hash2	131072	0
s-2048	t-128k-dense	hash4	131072	0
s-2048	t-128k-dense	vm	131072	0
s-2048	f-sh1	firstbyte	5	0
s-2048	f-sh1	trie	5	0
s-2048	f-sh1	hash2	5	0
s-2048	f-sh1	hash4	5	0
s-2048	f-sh1	vm	5	0
s-2048	f-glued	firstbyte	18	0
s-2048	f-glued	trie	18	0
s-2048	f-glued	hash2	18	0
s-2048	f-glued	hash4	18	0
s-2048	f-glued	vm	18	0
s-2048	f-w255	firstbyte	7	0
s-2048	f-w255	trie	7	0
s-2048	f-w255	hash2	7	0
s-2048	f-w255	hash4	7	0
s-2048	f-w255	vm	7	0
s-2048	f-pfx3	firstbyte	8	0
s-2048	f-pfx3	trie	8	0
s-2048	f-pfx3	hash2	8	0
s-2048	f-pfx3	hash4	8	0
s-2048	f-pfx3	vm	8	0
s-2048	t-128k-sparse	firstbyte	131072	0
s-2048	t-128k-sparse	trie	131072	0
s-2048	t-128k-sparse	hash2	131072	0
s-2048	t-128k-sparse	hash4	131072	0
s-2048	t-128k-sparse	vm	131072	0
s-2048	f-bg	firstbyte	8	0
s-2048	f-bg	trie	8	0
s-2048	f-bg	hash2	8	0
s-2048	f-bg	hash4	8	0
s-2048	f-bg	vm	8	0
s-2048	f-upper	firstbyte	12	0
s-2048	f-upper	trie	12	0
s-2048	f-upper	hash2	12	0
s-2048	f-upper	hash4	12	0
s-2048	f-upper	vm	12	0
s-2048	f-near	firstbyte	12	0
s-2048	f-near	trie	12	0
s-2048	f-near	hash2	12	0
s-2048	f-near	hash4	12	0
s-2048	f-near	vm	12	0
s-2048	f-sfx	firstbyte	9	0
s-2048	f-sfx	trie	9	0
s-2048	f-sfx	hash2	9	0
s-2048	f-sfx	hash4	9	0
s-2048	f-sfx	vm	9	0
w-8	f-cnt2	firstbyte	16	0
w-8	f-cnt2	trie	16	0
w-8	f-cnt2	hash2	16	0
w-8	f-cnt2	hash4	16	0
w-8	f-cnt2	vm	16	0
w-8	f-nar4	firstbyte	9	0
w-8	f-nar4	trie	9	0
w-8	f-nar4	hash2	9	0
w-8	f-nar4	hash4	9	0
w-8	f-nar4	vm	9	0
w-8	f-w0	firstbyte	12	0
w-8	f-w0	trie	12	0
w-8	f-w0	hash2	12	0
w-8	f-w0	hash4	12	0
w-8	f-w0	vm	12	0
w-8	f-s4095	firstbyte	4	0
w-8	f-s4095	trie	4	0
w-8	f-s4095	hash2	4	0
w-8	f-s4095	hash4	4	0
w-8	f-s4095	vm	4	0
w-8	f-s0	firstbyte	4	0
w-8	f-s0	trie	4	0
w-8	f-s0	hash2	4	0
w-8	f-s0	hash4	4	0
w-8	f-s0	vm	4	0
w-8	t-128k-clean	firstbyte	131072	0
w-8	t-128k-clean	trie	131072	0
w-8	t-128k-clean	hash2	131072	0
w-8	t-128k-clean	hash4	131072	0
w-8	t-128k-clean	vm	131072	0
w-8	f-w511	firstbyte	6	0
w-8	f-w511	trie	6	0
w-8	f-w511	hash2	6	0
w-8	f-w511	hash4	6	0
w-8	f-w511	vm	6	0
w-8	f-prefix	firstbyte	11	0
w-8	f-prefix	trie	11	0
w-8	f-prefix	hash2	11	0
w-8	f-prefix	hash4	11	0
w-8	f-prefix	vm	11	0
w-8	f-w2047	firstbyte	8	0
w-8	f-w2047	trie	8	0
w-8	f-w2047	hash2	8	0
w-8	f-w2047	hash4	8	0
w-8	f-w2047	vm	8	0
w-8	f-w7	firstbyte	4	0
w-8	f-w7	trie	4	0
w-8	f-w7	hash2	4	0
w-8	f-w7	hash4	4	0
w-8	f-w7	vm	4	0
w-8	t-512k-sparse	firstbyte	524288	0
w-8	t-512k-sparse	trie	524288	0
w-8	t-512k-sparse	hash2	524288	0
w-8	t-512k-sparse	hash4	524288	0
w-8	t-512k-sparse	vm	524288	0
w-8	t-128k-dense	firstbyte	131072	0
w-8	t-128k-dense	trie	131072	0
w-8	t-128k-dense	hash2	131072	0
w-8	t-128k-dense	hash4	131072	0
w-8	t-128k-dense	vm	131072	0
w-8	f-sh1	firstbyte	5	0
w-8	f-sh1	trie	5	0
w-8	f-sh1	hash2	5	0
w-8	f-sh1	hash4	5	0
w-8	f-sh1	vm	5	0
w-8	f-glued	firstbyte	18	0
w-8	f-glued	trie	18	0
w-8	f-glued	hash2	18	0
w-8	f-glued	hash4	18	0
w-8	f-glued	vm	18	0
w-8	f-w255	firstbyte	7	0
w-8	f-w255	trie	7	0
w-8	f-w255	hash2	7	0
w-8	f-w255	hash4	7	0
w-8	f-w255	vm	7	0
w-8	f-pfx3	firstbyte	8	0
w-8	f-pfx3	trie	8	0
w-8	f-pfx3	hash2	8	0
w-8	f-pfx3	hash4	8	0
w-8	f-pfx3	vm	8	0
w-8	t-128k-sparse	firstbyte	131072	0
w-8	t-128k-sparse	trie	131072	0
w-8	t-128k-sparse	hash2	131072	0
w-8	t-128k-sparse	hash4	131072	0
w-8	t-128k-sparse	vm	131072	0
w-8	f-bg	firstbyte	8	0
w-8	f-bg	trie	8	0
w-8	f-bg	hash2	8	0
w-8	f-bg	hash4	8	0
w-8	f-bg	vm	8	0
w-8	f-upper	firstbyte	12	0
w-8	f-upper	trie	12	0
w-8	f-upper	hash2	12	0
w-8	f-upper	hash4	12	0
w-8	f-upper	vm	12	0
w-8	f-near	firstbyte	12	0
w-8	f-near	trie	12	0
w-8	f-near	hash2	12	0
w-8	f-near	hash4	12	0
w-8	f-near	vm	12	0
w-8	f-sfx	firstbyte	9	0
w-8	f-sfx	trie	9	0
w-8	f-sfx	hash2	9	0
w-8	f-sfx	hash4	9	0
w-8	f-sfx	vm	9	0
w-384	f-cnt2	firstbyte	16	0
w-384	f-cnt2	trie	16	0
w-384	f-cnt2	hash2	16	0
w-384	f-cnt2	hash4	16	0
w-384	f-cnt2	vm	16	0
w-384	f-nar4	firstbyte	9	0
w-384	f-nar4	trie	9	0
w-384	f-nar4	hash2	9	0
w-384	f-nar4	hash4	9	0
w-384	f-nar4	vm	9	0
w-384	f-w0	firstbyte	12	0
w-384	f-w0	trie	12	0
w-384	f-w0	hash2	12	0
w-384	f-w0	hash4	12	0
w-384	f-w0	vm	12	0
w-384	f-s4095	firstbyte	4	0
w-384	f-s4095	trie	4	0
w-384	f-s4095	hash2	4	0
w-384	f-s4095	hash4	4	0
w-384	f-s4095	vm	4	0
w-384	f-s0	firstbyte	4	0
w-384	f-s0	trie	4	0
w-384	f-s0	hash2	4	0
w-384	f-s0	hash4	4	0
w-384	f-s0	vm	4	0
w-384	t-128k-clean	firstbyte	131072	0
w-384	t-128k-clean	trie	131072	0
w-384	t-128k-clean	hash2	131072	0
w-384	t-128k-clean	hash4	131072	0
w-384	t-128k-clean	vm	131072	0
w-384	f-w511	firstbyte	6	0
w-384	f-w511	trie	6	0
w-384	f-w511	hash2	6	0
w-384	f-w511	hash4	6	0
w-384	f-w511	vm	6	0
w-384	f-prefix	firstbyte	11	0
w-384	f-prefix	trie	11	0
w-384	f-prefix	hash2	11	0
w-384	f-prefix	hash4	11	0
w-384	f-prefix	vm	11	0
w-384	f-w2047	firstbyte	8	0
w-384	f-w2047	trie	8	0
w-384	f-w2047	hash2	8	0
w-384	f-w2047	hash4	8	0
w-384	f-w2047	vm	8	0
w-384	f-w7	firstbyte	4	0
w-384	f-w7	trie	4	0
w-384	f-w7	hash2	4	0
w-384	f-w7	hash4	4	0
